x,y,m
-3,-6.372500567387366,a
-2.4,-3.744972481042195,a
-1.8,-4.233323616455212,a
-1.2000000000000002,-2.1883338256298366,a
-0.6000000000000001,-0.8752373102142874,a
0,-0.06713885600978999,a
0.5999999999999996,0.9989122745950851,a
1.2000000000000002,3.562646722478296,a
1.7999999999999998,2.7887452913496054,a
2.3999999999999995,5.777020104259841,a
3,6.016384518067573,a
-3,3.2243873407359454,b
-2.4,4.341634262598834,b
-1.8,3.8439277087244146,b
-1.2000000000000002,3.006633018237442,b
-0.6000000000000001,1.1295783613109402,b
0,-1.038927413575049,b
0.5999999999999996,-1.5683876146977191,b
1.2000000000000002,-2.439625763387162,b
1.7999999999999998,-3.102544500791714,b
2.3999999999999995,-4.018376715188131,b
3,-5.927512848637737,b
-3,0.8320031967818469,c
-2.4,0.11747899692181552,c
-1.8,0.39698092345812486,c
-1.2000000000000002,0.1529181429370119,c
-0.6000000000000001,-0.07043948875066511,c
0,-0.07162914926056532,c
0.5999999999999996,-0.27676487074773165,c
1.2000000000000002,-0.05623362112462074,c
1.7999999999999998,0.03713687845925012,c
2.3999999999999995,-0.20857513666308192,c
3,-0.22029639399794254,c
-3,-0.7507392558820252,d
-2.4,-0.139314049382053,d
-1.8,-0.11064624452234625,d
-1.2000000000000002,0.001406313809088039,d
-0.6000000000000001,-0.12021369295100517,d
0,-0.03629301589003846,d
0.5999999999999996,0.12499684599529348,d
1.2000000000000002,0.09351584196227608,d
1.7999999999999998,0.38131803675043857,d
2.3999999999999995,0.2782642842106763,d
3,0.867851038879585,d
