x1,x2,x3
-5,-5,A
-4,-5,A
-3,-5,A
-2,-5,A
-1,-5,A
0,-5,A
1,-5,A
2,-5,A
3,-5,A
4,-5,A
5,-5,A
-5,-4,A
-4,-4,A
-3,-4,A
-2,-4,A
-1,-4,A
0,-4,A
1,-4,A
2,-4,A
3,-4,A
4,-4,A
5,-4,A
-5,-3,A
-4,-3,A
-3,-3,A
-2,-3,A
-1,-3,A
0,-3,A
1,-3,A
2,-3,A
3,-3,A
4,-3,A
5,-3,A
-5,-2,A
-4,-2,A
-3,-2,A
-2,-2,A
-1,-2,A
0,-2,A
1,-2,A
2,-2,A
3,-2,A
4,-2,A
5,-2,A
-5,-1,A
-4,-1,A
-3,-1,A
-2,-1,A
-1,-1,A
0,-1,A
1,-1,A
2,-1,A
3,-1,A
4,-1,A
5,-1,A
-5,0,A
-4,0,A
-3,0,A
-2,0,A
-1,0,A
0,0,A
1,0,A
2,0,A
3,0,A
4,0,A
5,0,A
-5,1,A
-4,1,A
-3,1,A
-2,1,A
-1,1,A
0,1,A
1,1,A
2,1,A
3,1,A
4,1,A
5,1,A
-5,2,A
-4,2,A
-3,2,A
-2,2,A
-1,2,A
0,2,A
1,2,A
2,2,A
3,2,A
4,2,A
5,2,A
-5,3,A
-4,3,A
-3,3,A
-2,3,A
-1,3,A
0,3,A
1,3,A
2,3,A
3,3,A
4,3,A
5,3,A
-5,4,A
-4,4,A
-3,4,A
-2,4,A
-1,4,A
0,4,A
1,4,A
2,4,A
3,4,A
4,4,A
5,4,A
-5,5,A
-4,5,A
-3,5,A
-2,5,A
-1,5,A
0,5,A
1,5,A
2,5,A
3,5,A
4,5,A
5,5,A
-5,-5,B
-4,-5,B
-3,-5,B
-2,-5,B
-1,-5,B
0,-5,B
1,-5,B
2,-5,B
3,-5,B
4,-5,B
5,-5,B
-5,-4,B
-4,-4,B
-3,-4,B
-2,-4,B
-1,-4,B
0,-4,B
1,-4,B
2,-4,B
3,-4,B
4,-4,B
5,-4,B
-5,-3,B
-4,-3,B
-3,-3,B
-2,-3,B
-1,-3,B
0,-3,B
1,-3,B
2,-3,B
3,-3,B
4,-3,B
5,-3,B
-5,-2,B
-4,-2,B
-3,-2,B
-2,-2,B
-1,-2,B
0,-2,B
1,-2,B
2,-2,B
3,-2,B
4,-2,B
5,-2,B
-5,-1,B
-4,-1,B
-3,-1,B
-2,-1,B
-1,-1,B
0,-1,B
1,-1,B
2,-1,B
3,-1,B
4,-1,B
5,-1,B
-5,0,B
-4,0,B
-3,0,B
-2,0,B
-1,0,B
0,0,B
1,0,B
2,0,B
