x,y,w,v,m
-0.25,-0.25,1.4142135623730951,0.25,A
-0.125,-0.25,1.118033988749895,0.25,A
0,-0.25,1,0.25,A
0.125,-0.25,1.118033988749895,0.25,A
0.25,-0.25,1.4142135623730951,0.25,A
-0.25,-0.125,1.118033988749895,0.25,A
0.25,-0.125,1.118033988749895,0.25,A
-0.25,0,1,0.25,A
0.25,0,1,0.25,A
-0.25,0.125,1.118033988749895,0.25,A
0.25,0.125,1.118033988749895,0.25,A
-0.25,0.25,1.4142135623730951,0.25,A
-0.125,0.25,1.118033988749895,0.25,A
0,0.25,1,0.25,A
0.125,0.25,1.118033988749895,0.25,A
0.25,0.25,1.4142135623730951,0.25,A
-0.5,-0.5,1.4142135623730951,0.5,A
-0.25,-0.5,1.118033988749895,0.5,A
0,-0.5,1,0.5,A
0.25,-0.5,1.118033988749895,0.5,A
0.5,-0.5,1.4142135623730951,0.5,A
-0.5,-0.25,1.118033988749895,0.5,A
0.5,-0.25,1.118033988749895,0.5,A
-0.5,0,1,0.5,A
0.5,0,1,0.5,A
-0.5,0.25,1.118033988749895,0.5,A
0.5,0.25,1.118033988749895,0.5,A
-0.5,0.5,1.4142135623730951,0.5,A
-0.25,0.5,1.118033988749895,0.5,A
0,0.5,1,0.5,A
0.25,0.5,1.118033988749895,0.5,A
0.5,0.5,1.4142135623730951,0.5,A
-0.75,-0.75,1.4142135623730951,0.75,A
-0.375,-0.75,1.118033988749895,0.75,A
0,-0.75,1,0.75,A
0.375,-0.75,1.118033988749895,0.75,A
0.75,-0.75,1.4142135623730951,0.75,A
-0.75,-0.375,1.118033988749895,0.75,A
0.75,-0.375,1.118033988749895,0.75,A
-0.75,0,1,0.75,A
0.75,0,1,0.75,A
-0.75,0.375,1.118033988749895,0.75,A
0.75,0.375,1.118033988749895,0.75,A
-0.75,0.75,1.4142135623730951,0.75,A
-0.375,0.75,1.118033988749895,0.75,A
0,0.75,1,0.75,A
0.375,0.75,1.118033988749895,0.75,A
0.75,0.75,1.4142135623730951,0.75,A
-1,-1,1.4142135623730951,1,A
-0.5,-1,1.118033988749895,1,A
0,-1,1,1,A
0.5,-1,1.118033988749895,1,A
1,-1,1.4142135623730951,1,A
-1,-0.5,1.118033988749895,1,A
1,-0.5,1.118033988749895,1,A
-1,0,1,1,A
1,0,1,1,A
-1,0.5,1.118033988749895,1,A
1,0.5,1.118033988749895,1,A
-1,1,1.4142135623730951,1,A
-0.5,1,1.118033988749895,1,A
0,1,1,1,A
0.5,1,1.118033988749895,1,A
1,1,1.4142135623730951,1,A
-1.25,-1.25,1.4142135623730951,1.25,A
-0.625,-1.25,1.118033988749895,1.25,A
0,-1.25,1,1.25,A
0.625,-1.25,1.118033988749895,1.25,A
1.25,-1.25,1.4142135623730951,1.25,A
-1.25,-0.625,1.118033988749895,1.25,A
1.25,-0.625,1.118033988749895,1.25,A
-1.25,0,1,1.25,A
1.25,0,1,1.25,A
-1.25,0.625,1.118033988749895,1.25,A
1.25,0.625,1.118033988749895,1.25,A
-1.25,1.25,1.4142135623730951,1.25,A
-0.625,1.25,1.118033988749895,1.25,A
0,1.25,1,1.25,A
0.625,1.25,1.118033988749895,1.25,A
1.25,1.25,1.4142135623730951,1.25,A
-1.5,-1.5,1.4142135623730951,1.5,A
-0.75,-1.5,1.118033988749895,1.5,A
0,-1.5,1,1.5,A
0.75,-1.5,1.118033988749895,1.5,A
1.5,-1.5,1.4142135623730951,1.5,A
-1.5,-0.75,1.118033988749895,1.5,A
1.5,-0.75,1.118033988749895,1.5,A
-1.5,0,1,1.5,A
1.5,0,1,1.5,A
-1.5,0.75,1.118033988749895,1.5,A
1.5,0.75,1.118033988749895,1.5,A
-1.5,1.5,1.4142135623730951,1.5,A
-0.75,1.5,1.118033988749895,1.5,A
0,1.5,1,1.5,A
0.75,1.5,1.118033988749895,1.5,A
1.5,1.5,1.4142135623730951,1.5,A
-1.75,-1.75,1.4142135623730951,1.75,A
-0.875,-1.75,1.118033988749895,1.75,A
0,-1.75,1,1.75,A
0.875,-1.75,1.118033988749895,1.75,A
1.75,-1.75,1.4142135623730951,1.75,A
-1.75,-0.875,1.118033988749895,1.75,A
1.75,-0.875,1.118033988749895,1.75,A
-1.75,0,1,1.75,A
1.75,0,1,1.75,A
-1.75,0.875,1.118033988749895,1.75,A
1.75,0.875,1.118033988749895,1.75,A
-1.75,1.75,1.4142135623730951,1.75,A
-0.875,1.75,1.118033988749895,1.75,A
0,1.75,1,1.75,A
0.875,1.75,1.118033988749895,1.75,A
1.75,1.75,1.4142135623730951,1.75,A
-2,-2,1.4142135623730951,2,A
-1,-2,1.118033988749895,2,A
0,-2,1,2,A
1,-2,1.118033988749895,2,A
2,-2,1.4142135623730951,2,A
-2,-1,1.118033988749895,2,A
2,-1,1.118033988749895,2,A
-2,0,1,2,A
2,0,1,2,A
-2,1,1.118033988749895,2,A
2,1,1.118033988749895,2,A
-2,2,1.4142135623730951,2,A
-1,2,1.118033988749895,2,A
0,2,1,2,A
1,2,1.118033988749895,2,A
2,2,1.4142135623730951,2,A
-2.25,-2.25,1.4142135623730951,2.25,A
-1.125,-2.25,1.118033988749895,2.25,A
0,-2.25,1,2.25,A
1.125,-2.25,1.118033988749895,2.25,A
2.25,-2.25,1.4142135623730951,2.25,A
-2.25,-1.125,1.118033988749895,2.25,A
2.25,-1.125,1.118033988749895,2.25,A
-2.25,0,1,2.25,A
2.25,0,1,2.25,A
-2.25,1.125,1.118033988749895,2.25,A
2.25,1.125,1.118033988749895,2.25,A
-2.25,2.25,1.4142135623730951,2.25,A
-1.125,2.25,1.118033988749895,2.25,A
0,2.25,1,2.25,A
1.125,2.25,1.118033988749895,2.25,A
2.25,2.25,1.4142135623730951,2.25,A
-2.5,-2.5,1.4142135623730951,2.5,A
-1.25,-2.5,1.118033988749895,2.5,A
0,-2.5,1,2.5,A
1.25,-2.5,1.118033988749895,2.5,A
2.5,-2.5,1.4142135623730951,2.5,A
-2.5,-1.25,1.118033988749895,2.5,A
2.5,-1.25,1.118033988749895,2.5,A
-2.5,0,1,2.5,A
2.5,0,1,2.5,A
-2.5,1.25,1.118033988749895,2.5,A
2.5,1.25,1.118033988749895,2.5,A
-2.5,2.5,1.4142135623730951,2.5,A
-1.25,2.5,1.118033988749895,2.5,A
0,2.5,1,2.5,A
1.25,2.5,1.118033988749895,2.5,A
2.5,2.5,1.4142135623730951,2.5,A
-0.25,0,1.4142135623730951,0.25,B
-0.1875,-0.0625,1.118033988749895,0.25,B
-0.125,-0.125,1,0.25,B
-0.0625,-0.1875,1.118033988749895,0.25,B
0,-0.25,1.4142135623730951,0.25,B
-0.1875,0.0625,1.118033988749895,0.25,B
0.0625,-0.1875,1.118033988749895,0.25,B
-0.125,0.125,1,0.25,B
0.125,-0.125,1,0.25,B
-0.0625,0.1875,1.118033988749895,0.25,B
0.1875,-0.0625,1.118033988749895,0.25,B
0,0.25,1.4142135623730951,0.25,B
0.0625,0.1875,1.118033988749895,0.25,B
0.125,0.125,1,0.25,B
0.1875,0.0625,1.118033988749895,0.25,B
0.25,0,1.4142135623730951,0.25,B
-0.5,0,1.4142135623730951,0.5,B
-0.375,-0.125,1.118033988749895,0.5,B
-0.25,-0.25,1,0.5,B
-0.125,-0.375,1.118033988749895,0.5,B
0,-0.5,1.4142135623730951,0.5,B
-0.375,0.125,1.118033988749895,0.5,B
0.125,-0.375,1.118033988749895,0.5,B
-0.25,0.25,1,0.5,B
0.25,-0.25,1,0.5,B
-0.125,0.375,1.118033988749895,0.5,B
0.375,-0.125,1.118033988749895,0.5,B
0,0.5,1.4142135623730951,0.5,B
0.125,0.375,1.118033988749895,0.5,B
0.25,0.25,1,0.5,B
0.375,0.125,1.118033988749895,0.5,B
0.5,0,1.4142135623730951,0.5,B
-0.75,0,1.4142135623730951,0.75,B
-0.5625,-0.1875,1.118033988749895,0.75,B
-0.375,-0.375,1,0.75,B
-0.1875,-0.5625,1.118033988749895,0.75,B
0,-0.75,1.4142135623730951,0.75,B
-0.5625,0.1875,1.118033988749895,0.75,B
0.1875,-0.5625,1.118033988749895,0.75,B
-0.375,0.375,1,0.75,B
0.375,-0.375,1,0.75,B
-0.1875,0.5625,1.118033988749895,0.75,B
0.5625,-0.1875,1.118033988749895,0.75,B
0,0.75,1.4142135623730951,0.75,B
0.1875,0.5625,1.118033988749895,0.75,B
0.375,0.375,1,0.75,B
0.5625,0.1875,1.118033988749895,0.75,B
0.75,0,1.4142135623730951,0.75,B
-1,0,1.4142135623730951,1,B
-0.75,-0.25,1.118033988749895,1,B
-0.5,-0.5,1,1,B
-0.25,-0.75,1.118033988749895,1,B
0,-1,1.4142135623730951,1,B
-0.75,0.25,1.118033988749895,1,B
0.25,-0.75,1.118033988749895,1,B
-0.5,0.5,1,1,B
0.5,-0.5,1,1,B
-0.25,0.75,1.118033988749895,1,B
0.75,-0.25,1.118033988749895,1,B
0,1,1.4142135623730951,1,B
0.25,0.75,1.118033988749895,1,B
0.5,0.5,1,1,B
0.75,0.25,1.118033988749895,1,B
1,0,1.4142135623730951,1,B
-1.25,0,1.4142135623730951,1.25,B
-0.9375,-0.3125,1.118033988749895,1.25,B
-0.625,-0.625,1,1.25,B
-0.3125,-0.9375,1.118033988749895,1.25,B
0,-1.25,1.4142135623730951,1.25,B
-0.9375,0.3125,1.118033988749895,1.25,B
0.3125,-0.9375,1.118033988749895,1.25,B
-0.625,0.625,1,1.25,B
0.625,-0.625,1,1.25,B
-0.3125,0.9375,1.118033988749895,1.25,B
0.9375,-0.3125,1.118033988749895,1.25,B
0,1.25,1.4142135623730951,1.25,B
0.3125,0.9375,1.118033988749895,1.25,B
0.625,0.625,1,1.25,B
0.9375,0.3125,1.118033988749895,1.25,B
1.25,0,1.4142135623730951,1.25,B
-1.5,0,1.4142135623730951,1.5,B
-1.125,-0.375,1.118033988749895,1.5,B
-0.75,-0.75,1,1.5,B
-0.375,-1.125,1.118033988749895,1.5,B
0,-1.5,1.4142135623730951,1.5,B
-1.125,0.375,1.118033988749895,1.5,B
0.375,-1.125,1.118033988749895,1.5,B
-0.75,0.75,1,1.5,B
0.75,-0.75,1,1.5,B
-0.375,1.125,1.118033988749895,1.5,B
1.125,-0.375,1.118033988749895,1.5,B
0,1.5,1.4142135623730951,1.5,B
0.375,1.125,1.118033988749895,1.5,B
0.75,0.75,1,1.5,B
1.125,0.375,1.118033988749895,1.5,B
1.5,0,1.4142135623730951,1.5,B
-1.75,0,1.4142135623730951,1.75,B
-1.3125,-0.4375,1.118033988749895,1.75,B
-0.875,-0.875,1,1.75,B
-0.4375,-1.3125,1.118033988749895,1.75,B
0,-1.75,1.4142135623730951,1.75,B
-1.3125,0.4375,1.118033988749895,1.75,B
0.4375,-1.3125,1.118033988749895,1.75,B
-0.875,0.875,1,1.75,B
0.875,-0.875,1,1.75,B
-0.4375,1.3125,1.118033988749895,1.75,B
1.3125,-0.4375,1.118033988749895,1.75,B
0,1.75,1.4142135623730951,1.75,B
0.4375,1.3125,1.118033988749895,1.75,B
0.875,0.875,1,1.75,B
