x1,x2,x3,Class
a,4,D,good
b,4,C,bad
a,3,E,good
b,1,D,bad
b,4,D,good
b,3,C,bad
a,4,C,good
b,2,C,bad
a,4,D,good
b,2,C,bad
a,4,D,good
a,4,D,bad
a,4,D,good
a,3,D,bad
a,1,E,good
b,3,C,bad
a,1,E,good
b,2,C,bad
a,1,D,good
b,1,C,bad
a,4,E,good
b,1,C,bad
a,2,D,good
b,2,C,bad
a,4,E,good
a,4,C,bad
a,4,D,good
b,4,C,bad
a,1,D,good
b,4,C,bad
a,4,E,good
a,2,C,bad
a,4,D,good
a,3,C,bad
a,3,D,good
a,1,C,bad
a,3,E,good
b,1,C,bad
a,1,D,good
a,1,D,bad
a,1,D,good
b,4,D,bad
b,1,D,good
a,4,C,bad
a,4,D,good
b,4,D,bad
a,4,E,good
b,4,C,bad
a,3,E,good
b,2,C,bad
a,3,D,good
b,3,D,bad
b,4,E,good
b,3,C,bad
a,4,E,good
b,4,C,bad
a,3,E,good
b,3,C,bad
a,1,E,good
b,1,C,bad
a,1,E,good
b,4,C,bad
a,1,D,good
b,2,E,bad
a,3,E,good
a,1,E,bad
a,2,E,good
a,2,C,bad
b,4,E,good
a,1,D,bad
a,1,E,good
b,4,C,bad
a,1,D,good
b,1,C,bad
a,1,D,good
a,3,D,bad
a,1,D,good
b,1,E,bad
a,1,E,good
b,1,E,bad
a,4,E,good
a,2,E,bad
b,1,D,good
b,1,D,bad
a,3,D,good
a,1,D,bad
a,3,D,good
a,1,E,bad
a,2,C,good
b,2,C,bad
a,1,D,good
b,3,C,bad
b,3,D,good
b,3,C,bad
b,3,C,good
b,1,C,bad
b,1,D,good
b,1,E,good
b,4,C,bad
a,1,D,good
b,4,C,bad
a,3,E,good
b,4,C,bad
a,4,D,good
b,4,C,bad
a,4,E,good
b,4,C,bad
a,3,D,good
b,4,D,bad
a,4,C,good
b,4,C,bad
b,1,E,good
b,2,C,bad
b,1,E,good
b,3,C,bad
b,3,C,good
a,3,D,bad
a,1,D,good
b,2,C,bad
a,3,E,good
b,2,C,bad
a,2,D,good
b,3,C,bad
b,3,C,good
b,2,D,bad
a,1,D,good
a,2,E,bad
a,3,E,good
b,4,C,bad
a,2,E,good
a,3,C,bad
b,2,C,good
a,3,D,bad
b,1,C,good
a,3,C,bad
b,1,E,good
b,4,C,bad
a,2,C,good
b,3,C,bad
a,3,D,good
b,3,C,bad
a,2,E,good
a,4,D,bad
b,3,C,good
a,4,D,bad
b,2,C,good
b,3,C,bad
a,2,E,good
a,1,E,bad
a,2,E,good
b,2,C,bad
a,2,D,good
b,3,C,bad
