x,y,z
4,f,E
8,b,F
1,d,I
3,c,A
6,h,D
0,a,B
7,i,C
5,g,H
2,e,G
6,g,E
2,e,H
1,d,I
4,c,C
5,i,F
7,a,A
0,b,G
3,h,D
8,f,B
5,h,C
4,c,D
1,e,B
0,i,E
7,a,F
8,g,G
3,b,I
6,d,A
2,f,H
3,i,I
7,b,B
0,a,F
4,h,G
1,f,H
5,d,D
2,e,A
8,c,C
6,g,E
2,i,F
7,f,I
5,h,E
6,e,A
0,d,D
8,g,C
4,a,G
1,c,B
3,b,H
8,d,G
4,h,F
7,f,C
5,e,B
3,g,H
2,c,A
6,i,E
1,b,I
0,a,D
6,f,F
5,i,A
4,c,C
2,b,G
7,e,I
8,d,H
3,h,B
1,g,D
0,a,E
3,i,G
5,h,E
0,d,D
7,b,A
2,e,H
1,g,B
6,a,C
8,f,I
4,c,F
1,g,A
7,e,E
8,h,C
2,i,G
0,c,B
6,b,H
5,d,D
3,f,I
4,a,F
6,e,D
1,d,B
4,f,C
2,a,G
5,b,F
7,g,H
3,c,A
8,i,I
0,h,E
5,b,E
6,h,H
0,d,B
3,g,C
2,f,F
8,i,D
7,a,A
1,c,G
4,e,I
3,i,G
2,e,H
5,a,C
7,f,A
1,h,B
0,c,F
8,d,D
6,g,E
4,b,I
0,g,G
6,f,E
1,h,C
7,a,D
2,d,B
5,i,H
4,b,A
3,e,I
8,c,F
5,f,I
3,i,H
0,c,D
4,g,A
2,b,F
6,d,B
1,h,G
8,a,E
7,e,C
1,d,I
5,f,C
3,g,H
8,c,F
6,a,G
4,b,A
2,e,E
7,i,B
0,h,D
2,b,I
5,g,C
8,e,F
4,i,H
7,a,G
1,c,E
6,d,D
0,f,B
3,h,A
2,a,C
6,i,B
1,c,A
3,b,E
8,d,G
5,g,D
7,e,F
4,h,H
0,f,I
0,g,E
4,a,H
7,e,C
1,d,A
3,c,I
5,i,F
6,h,D
2,f,B
8,b,G
5,h,A
2,g,B
3,f,E
0,i,I
6,a,D
7,b,G
1,c,C
8,d,F
4,e,H
6,h,B
5,e,D
4,g,H
3,a,F
2,b,G
0,c,A
1,f,I
7,d,E
8,i,C
5,b,E
8,h,H
1,f,I
4,c,G
6,i,A
3,g,D
7,e,F
0,a,C
2,d,B
5,g,A
2,b,F
0,h,I
6,d,G
7,f,E
4,c,D
1,e,C
3,a,B
8,i,H
7,d,B
1,a,E
2,b,A
0,i,D
4,e,F
6,g,I
5,h,G
3,f,C
8,c,H
7,d,F
1,f,D
8,g,I
3,a,E
0,i,C
5,h,G
6,e,H
2,b,A
4,c,B
4,c,A
6,a,H
5,b,E
1,i,C
8,d,F
2,f,B
0,e,G
7,g,D
3,h,I
