customer,product,year,price
X01,C,2010,2150
X01,C,2010,1050
X01,C,2010,1720
X01,C,2010,2440
X07,H,2010,1899
X07,H,2010,1955
X17,C,2010,2135
X17,C,2010,1915
X17,C,2010,2365
X07,H,2010,1890
X07,H,2010,1759
X07,C,2010,1850
X07,H,2010,1804
X07,C,2010,1715
X17,C,2010,2120
X17,H,2010,5380
X07,A,2010,1640
X17,C,2010,3944.32
X07,C,2010,1410
X09,C,2010,2100
X09,C,2010,1900
X09,D,2010,1700
X05,H,2010,2160
X01,C,2010,1490
X01,C,2010,1499
X01,C,2010,1420
X01,C,2010,1260
X01,C,2010,1150
X01,C,2010,1840
X21,H,2010,960
X21,H,2010,1055
X21,H,2010,880
X24,C,2010,1275
X24,H,2010,1499
X24,C,2010,1200
X24,H,2010,1460
X06,H,2010,3761.62
X06,C,2010,3060
X06,C,2010,3951.92
X06,C,2010,2909.41
X06,C,2010,2200
X06,C,2010,2750
X06,C,2010,2590
X06,C,2010,2140
X06,C,2010,6116.57
X06,C,2010,2240
X06,C,2010,5000
X06,H,2010,3200
X06,C,2010,3199
X06,C,2010,2050
X06,H,2010,1755
X07,C,2010,1995
X22,C,2010,1600
X22,C,2010,1920
X07,E,2010,1845
X07,H,2010,2165
X07,H,2010,1850.88
X07,E,2010,1800
X07,H,2010,2225
X16,H,2010,3331.68
X16,H,2010,3550
X16,C,2010,2604
X16,H,2010,3250
X16,H,2010,2900
X16,H,2010,2210
X16,A,2010,4100
X05,C,2010,2215
X05,C,2010,2045
X05,H,2010,2152
X05,C,2010,2625
X05,H,2010,2549
X05,C,2010,2715
X10,H,2010,2330
X10,H,2010,1810
X10,H,2010,2050
X10,C,2010,1430
X10,H,2010,1890
X10,C,2010,995
X10,C,2010,1250
X10,H,2010,1945
X10,C,2010,1520
X10,H,2010,1710
X10,C,2010,675
X08,A,2010,1120
X08,D,2010,1480
X08,C,2010,1385
X08,C,2010,1220
X08,C,2010,1330
X08,C,2010,1270
X08,C,2010,1690
X16,H,2010,1900
X16,H,2010,3625
X16,H,2010,2850
X05,C,2010,2600
X05,H,2010,1900
X05,H,2010,1550
X05,H,2010,1510
X05,H,2010,1495
X05,H,2010,1520
X05,C,2010,2220
X05,H,2010,1775
X05,H,2010,1770
X05,H,2010,1550
X05,H,2010,1471.1
X05,C,2010,2679.16
X05,H,2010,2540
X26,C,2010,1550
X26,C,2010,2060
X08,H,2010,1305
X05,C,2010,2300
X09,C,2010,2185
X09,H,2010,2435
X09,C,2010,2050
X09,A,2010,2125
X09,H,2010,1965
X09,C,2010,1975
X09,H,2010,1710
X01,C,2010,1422.5
X09,C,2010,1430
X01,C,2010,1289.5
X01,C,2010,1590
X01,C,2010,1789
X01,E,2010,1363
X01,E,2010,1805
X01,D,2010,1375
X01,C,2010,849
X01,C,2010,1421.25
X01,A,2010,1976
X01,A,2010,1725
X12,C,2010,1165
X12,C,2010,765
X01,C,2010,1280
X01,E,2010,1530
X01,C,2010,1320
X01,D,2010,1780
X01,H,2010,1543
X01,C,2010,1800
X01,C,2010,1900
X01,C,2010,1350
X01,C,2010,2140
X01,C,2010,1360
X01,C,2010,1655
X01,C,2010,1450
X01,C,2010,1480
X01,C,2010,1420
X01,C,2010,1675
X01,C,2010,1085.38
X01,C,2010,1595
X01,A,2010,1080
X01,C,2010,1350
X01,C,2010,1225
X01,C,2010,1190
X01,C,2010,1090
X01,C,2010,1050
X01,C,2010,1075
X01,C,2010,1449
X01,C,2010,1290
X01,A,2010,975
X03,D,2010,1440
X01,C,2010,1620
X01,E,2010,2420
X01,A,2010,1320
X01,C,2010,1540
X01,A,2010,1660
X01,C,2010,1348
X01,C,2010,1600
X01,C,2010,1480
X01,C,2010,1920
X01,H,2010,1550
X03,A,2010,804
X03,A,2010,965
X03,C,2010,1095
X03,C,2010,1150
X03,C,2010,1430
X03,H,2010,1074
X03,C,2010,800
X03,C,2010,1190
X03,A,2010,1300
X03,A,2010,1190
X03,A,2010,1290
X03,A,2010,1000
X03,C,2010,127.89
X03,C,2010,1059
X03,H,2010,1500
X03,A,2010,1390
X03,H,2010,2400
X03,H,2010,765
X03,C,2010,1497
X03,H,2010,1255
X03,H,2010,1225
X03,H,2010,1407.5
X12,A,2010,1285
X12,G,2010,2095
X12,C,2010,870
X12,A,2010,1340
X12,A,2010,1280
X12,A,2010,1320
X12,A,2010,1399
X12,A,2010,1239
X12,A,2010,1384
X03,C,2010,1095
X03,H,2010,1400
X03,A,2010,1495
X03,H,2010,1599
X03,H,2010,1220
X14,C,2010,1100
X14,H,2010,550
X03,H,2010,1400
X19,H,2010,2444
X19,C,2010,1730
X19,A,2010,1075
X18,A,2010,1000
X18,A,2010,950
X18,H,2010,933.69
X18,A,2010,1149
X08,A,2010,940
X08,C,2010,1360
X08,C,2010,1365
X08,C,2010,1315
X08,C,2010,1215
X08,C,2010,1250
X08,C,2010,1540
X08,C,2010,1379
X08,H,2010,1580
X08,C,2010,1372.5
X08,D,2010,1602.5
X08,H,2010,1630
X08,H,2010,1589
X19,H,2010,3280
X19,C,2010,2700
X08,C,2010,850
X08,C,2010,1280
X19,C,2010,2600
X19,H,2010,2300
X04,A,2010,1240
X04,C,2010,830
X04,C,2010,1445
X04,C,2010,1290
X04,A,2010,1270
X04,C,2010,1280
X04,C,2010,1860
X04,C,2010,3080.3
X04,C,2010,1140
X04,C,2010,849
X10,H,2010,1780
X10,C,2010,2700
X10,H,2010,2180
X10,H,2010,2360
X10,D,2010,1470
X02,C,2010,2453.5
X02,C,2010,2060
X02,C,2010,1989
X02,C,2010,1870
X10,H,2010,3200
X10,A,2010,1385
X19,E,2010,1550
X02,D,2010,1590
X02,H,2010,1910
X02,H,2010,2005
X02,C,2010,1500
X02,H,2010,1617.5
X02,C,2010,1282
X02,C,2010,1270
X02,C,2010,3180
X02,C,2010,2720
X02,H,2010,2370
X02,H,2010,2400
X02,C,2010,2249
X02,C,2010,1437.5
X02,C,2010,1430
X02,C,2010,2320
X02,C,2010,2130
X02,C,2010,1855
X04,C,2010,849
X04,C,2010,1558.91
X04,C,2010,1000
X04,C,2010,1440
X04,A,2010,640
X04,E,2010,1252
X04,E,2010,1070
X04,C,2010,900
X04,C,2010,1400
X04,A,2010,1130
X04,A,2010,800
X04,C,2010,1445
X18,C,2010,1040
X18,H,2010,1280
X04,C,2010,585
X18,A,2010,1270
X18,C,2010,1260
X18,H,2010,1600
X18,A,2010,1000
X18,A,2010,1690
X13,A,2010,2575
X13,H,2010,2150
X13,H,2010,2665
X13,C,2010,3350
X13,E,2010,2031.35
X25,C,2010,1850
X25,C,2010,1625
X13,C,2010,2890
X14,A,2010,1255
X14,C,2010,820
X14,A,2010,1100
X14,A,2010,684
X14,A,2010,1027.76
X14,C,2010,559.93
X14,C,2010,501.38
X13,C,2010,2460
X11,H,2010,2549
X11,E,2010,1900
X11,C,2010,2010
X11,E,2010,1699
X11,C,2010,1700
X15,C,2010,1600
X15,C,2010,2200
X15,C,2010,1797.81
X15,H,2010,1740
X15,H,2010,2695
X15,H,2010,2149
X15,H,2010,2029
X15,C,2010,3785
X11,C,2010,1690
X11,C,2010,1735
X11,H,2010,1390
X11,C,2010,1665
X20,H,2010,835
X20,C,2010,1195
X20,H,2010,850
X20,H,2010,760
X20,D,2010,755
X20,H,2010,882.5
X20,H,2010,855
X11,C,2010,1300
X11,C,2010,1579
X11,C,2010,1499
X11,H,2010,1590
X11,H,2010,1360
X11,A,2010,1610
X11,C,2010,2850
X11,H,2010,2310
X01,C,2009,1245
X01,C,2009,1570
X01,E,2009,3450
X07,H,2009,1895
X07,H,2009,2700
X07,E,2009,1890
X07,C,2009,3775
X07,E,2009,1685
X17,C,2009,3750
X17,C,2009,2780
X17,C,2009,2400
X17,C,2009,2395
X07,E,2009,1775
X07,H,2009,1850
X07,H,2009,1910
X07,H,2009,1780
X07,H,2009,1850
X07,H,2009,1813.16
X07,C,2009,1660
X07,H,2009,1780
X07,H,2009,1740
X07,C,2009,1730
X07,H,2009,2250
X07,C,2009,1805
X17,C,2009,1875
X17,C,2009,5018.37
X17,C,2009,3725
X17,C,2009,2600
X07,H,2009,1850
X09,H,2009,2600
X09,C,2009,1810
X09,C,2009,825
X09,C,2009,2150
X09,H,2009,1540
X09,C,2009,2000
X09,H,2009,2490
X09,E,2009,1875
X09,C,2009,1840
X09,C,2009,2780
X09,C,2009,1570
X09,C,2009,1520
X09,H,2009,1975
X05,H,2009,2409
X05,H,2009,2634.35
X05,H,2009,2200
X05,H,2009,2350
X09,C,2009,2130
X09,C,2009,1679
X09,C,2009,1580
X09,C,2009,1650
X09,E,2009,1580
X01,H,2009,1360
X01,C,2009,1485
X01,C,2009,1560
X01,C,2009,1280
X01,C,2009,1430
X01,C,2009,765
X01,C,2009,1205
X01,C,2009,1245
X01,C,2009,970
X01,C,2009,1300
X21,H,2009,1110
X21,H,2009,1250
X21,H,2009,1120
X21,H,2009,970
X21,H,2009,1180
X21,H,2009,1195
X24,C,2009,1437.5
X24,H,2009,1460
X24,H,2009,1485
X24,C,2009,1230
X24,H,2009,1470
X24,H,2009,1379
X24,H,2009,1470
X24,H,2009,1485
X24,H,2009,1380
X24,C,2009,1285
X01,C,2009,1000
X01,C,2009,1488
X06,C,2009,3375
X06,H,2009,4620
X06,H,2009,4850
X06,C,2009,5550
X06,C,2009,3250
X06,C,2009,2563
X06,C,2009,2532.93
X06,H,2009,3988
X06,H,2009,3350
X06,C,2009,4040
X06,C,2009,4028.61
X06,H,2009,4519.5
X06,C,2009,6100
X06,H,2009,5829.33
X06,C,2009,3600
X06,C,2009,2960
X06,H,2009,4099
X06,C,2009,2555
X06,C,2009,3350
X06,C,2009,2749
X06,C,2009,3000
X06,C,2009,3240
X06,H,2009,3500
X06,C,2009,2800
X06,C,2009,2840
X06,C,2009,2695
X06,C,2009,2331.7
X06,C,2009,3862.5
X06,C,2009,4450
X06,H,2009,2900
X06,C,2009,2559
X06,C,2009,2130
X06,C,2009,1960
X06,C,2009,1845
X06,C,2009,2125
X06,C,2009,2300
X06,C,2009,5520
X06,C,2009,3825
X06,C,2009,3200
X06,C,2009,2485
X06,C,2009,2865
X06,C,2009,2540
X06,C,2009,1730
X06,H,2009,1730
X07,H,2009,1840
X07,H,2009,1678
X07,H,2009,1740
X07,H,2009,1740
X22,C,2009,1740
X22,C,2009,1759
X22,C,2009,1925
X22,C,2009,1810
X22,C,2009,1800
X22,C,2009,1602
X07,H,2009,1885
X07,H,2009,2000
X07,E,2009,1700
X07,H,2009,1895
X07,E,2009,1841
X07,H,2009,1955
X07,H,2009,1920
X07,H,2009,1780
X06,C,2009,2075
X07,H,2009,2360
X07,H,2009,2575
X07,H,2009,2440
X07,E,2009,1670
X07,H,2009,1790
X07,H,2009,1900
X07,E,2009,1560
X07,H,2009,2450
X07,H,2009,1810
X07,H,2009,2140
X07,E,2009,1680
X16,H,2009,3370
X16,H,2009,4030
X16,H,2009,3270
X16,H,2009,3400
X16,H,2009,3360
X16,H,2009,2650
X16,C,2009,3150
X16,H,2009,2600
X16,H,2009,2600
X16,H,2009,2635.5
X16,H,2009,4020
X16,H,2009,2480
X05,C,2009,2446
X05,C,2009,2750
X05,C,2009,2575
X05,C,2009,2870.9
X05,C,2009,2755
X05,C,2009,2450
X05,H,2009,2530
X05,C,2009,4680
X05,H,2009,2526.78
X05,H,2009,2100
X05,C,2009,2083
X05,C,2009,2250
X05,C,2009,2294.56
X05,C,2009,2298
X05,C,2009,2500
X05,C,2009,3708.78
X05,C,2009,2385
X05,H,2009,3100
X05,H,2009,2700
X05,H,2009,2520
X05,H,2009,2410
X05,C,2009,2645
X05,C,2009,2910
X05,H,2009,2630
X05,C,2009,1850
X05,C,2009,2345
X05,H,2009,2090
X10,C,2009,1590
X10,C,2009,1520
X10,C,2009,1435
X10,H,2009,1930
X10,C,2009,2030
X10,C,2009,1849
X10,C,2009,1590
X10,C,2009,1420
X10,C,2009,1530
X10,C,2009,2242.43
X10,H,2009,2200
X10,C,2009,2570
X10,C,2009,1890
X10,H,2009,1715
X10,H,2009,1200
X10,C,2009,1450
X10,H,2009,1840
X10,H,2009,1620
X10,H,2009,1600
X10,C,2009,820
X10,B,2009,760
X08,C,2009,1100
X08,C,2009,1350
X08,C,2009,1410
X08,C,2009,1220
X08,C,2009,1241
X08,C,2009,1290
X08,C,2009,1314
X08,C,2009,623.83
X08,C,2009,1230
X23,C,2009,2750
X16,H,2009,2350
X05,H,2009,2807.5
X05,H,2009,1645
X05,H,2009,1737.33
X05,C,2009,2220
X05,C,2009,1950
X05,H,2009,1725
X05,H,2009,1800
X05,H,2009,1560
X05,H,2009,1725
X23,C,2009,3187.5
X26,C,2009,2115
X23,C,2009,2416
X23,E,2009,1805
X08,C,2009,1500
X09,H,2009,1540
X09,C,2009,1850
X09,C,2009,1857.5
X09,H,2009,2000
X09,H,2009,2060
X09,H,2009,1620
X09,H,2009,2569
X09,E,2009,1979
X09,C,2009,1630
X09,C,2009,1130
X09,H,2009,2300
X09,C,2009,1679
X09,C,2009,2132.5
X09,H,2009,2270
X01,C,2009,1300
X01,C,2009,1430
X01,C,2009,1175
X09,H,2009,1685
X09,D,2009,1725
X09,C,2009,1615
X01,C,2009,1415
X01,C,2009,1180
X01,C,2009,1275
X01,C,2009,1400
X01,C,2009,1776.25
X01,C,2009,1100
X01,C,2009,1670
X01,C,2009,1530
X01,C,2009,1451
X01,C,2009,1540
X01,H,2009,1775
X01,E,2009,1580
X01,C,2009,1245
X01,E,2009,1745
X01,C,2009,1220
X12,C,2009,825
X12,A,2009,1100
X01,C,2009,1495
X01,C,2009,1750
X01,C,2009,1670
X01,C,2009,1289
X01,A,2009,1400
X01,C,2009,1470
X01,C,2009,1240
X01,C,2009,1875
X01,C,2009,1590
X01,C,2009,2560
X01,H,2009,2050
X01,H,2009,1935
X01,C,2009,1100
X01,A,2009,1049
X01,C,2009,1500
X01,C,2009,1565
X01,C,2009,1760
X01,C,2009,1495
X01,C,2009,1390
X01,C,2009,1550
X01,C,2009,1200
X01,C,2009,1530
X01,C,2009,1440
X01,E,2009,1760
X01,C,2009,1530
X01,C,2009,1350
X01,C,2009,1310
X01,C,2009,1230
X01,C,2009,1260
X01,C,2009,1150
X01,C,2009,1649
X01,C,2009,1130
X01,C,2009,1455
X01,C,2009,1029
X03,H,2009,950
X01,H,2009,1525
X01,C,2009,1299
X01,C,2009,1320
X03,C,2009,999
X03,A,2009,1350
X03,H,2009,1490
X03,H,2009,1140
X03,C,2009,1095
X03,C,2009,1250
X03,A,2009,1429
X03,H,2009,1565
X03,C,2009,590
X03,A,2009,1050
X03,C,2009,1060
X03,C,2009,785
X01,H,2009,1900
X01,C,2009,1540
X01,C,2009,1630
X01,H,2009,2000
X01,C,2009,1435
X01,C,2009,1350
X01,C,2009,1530
X01,C,2009,1575
X01,C,2009,1135
X01,C,2009,1330
X01,C,2009,929
X01,A,2009,1285
X01,C,2009,900
X01,A,2009,1380
X01,C,2009,1280
X01,C,2009,1390
X01,C,2009,1189
X01,E,2009,1380
X01,C,2009,1325
X01,A,2009,1335
X01,A,2009,1350
X01,H,2009,1447.5
X01,D,2009,1450
X01,C,2009,1270
X01,C,2009,1095
X03,A,2009,1150
X03,H,2009,1100
X03,A,2009,1289
X03,H,2009,1035
X03,A,2009,665
X03,A,2009,1300
X03,H,2009,1290
X03,H,2009,1500
X03,H,2009,1075
X03,H,2009,945.5
X03,H,2009,1245
X03,H,2009,1350
X03,A,2009,1030
X03,C,2009,930
X03,A,2009,1295
X03,A,2009,930
X03,C,2009,800
X03,C,2009,450
X03,A,2009,379
X03,C,2009,913
X03,C,2009,995
X03,H,2009,1130
X03,H,2009,875
X03,A,2009,1100
X03,G,2009,1060
X03,H,2009,2659.79
X03,H,2009,1600
X03,H,2009,1190
X03,H,2009,1680
X03,C,2009,585
X03,H,2009,1430
X03,C,2009,850
X03,A,2009,1249
X03,A,2009,1190
X03,H,2009,1465
X14,C,2009,349
X14,C,2009,440
X12,H,2009,2235
X12,C,2009,1490
X12,A,2009,2050
X12,A,2009,1370
X12,B,2009,1210
X12,A,2009,1280
X12,A,2009,1349
X12,A,2009,1170
X12,A,2009,1325
X12,A,2009,930
X12,B,2009,1190
X12,C,2009,1000
X12,A,2009,1415
X12,A,2009,1330
X12,C,2009,600
X12,C,2009,1050
X12,C,2009,1150
X12,A,2009,1500
X12,C,2009,1265
X12,G,2009,2145
X12,H,2009,1675
X03,H,2009,1550
X03,H,2009,1550
X03,H,2009,1799
X03,F,2009,1040
X03,H,2009,625
X14,H,2009,1490
X14,A,2009,1030
X03,H,2009,1230
X03,G,2009,975
X14,A,2009,1350
X14,D,2009,700
X14,H,2009,1160
X08,C,2009,887.5
X04,C,2009,1790
X04,C,2009,1790
X04,D,2009,1599
X04,C,2009,610
X04,H,2009,1036
X04,A,2009,630
X08,E,2009,1750
X08,C,2009,1390
X08,H,2009,1725
X08,C,2009,1135
X08,C,2009,1300
X08,D,2009,1499
X08,D,2009,1349
X08,D,2009,1370
X08,C,2009,1390
X08,E,2009,1650
X08,E,2009,1480
X19,E,2009,1650
X08,C,2009,639
X19,A,2009,1615
X19,C,2009,1430
X04,C,2009,1350
X04,C,2009,825
X19,C,2009,1900
X04,C,2009,1396
X04,C,2009,1220
X04,C,2009,1275
X04,C,2009,1215
X04,C,2009,600
X04,H,2009,1544
X04,C,2009,1130
X04,C,2009,1250
X04,C,2009,840
X04,C,2009,1395
X04,A,2009,1310
X04,A,2009,1050
X04,H,2009,1080
X10,E,2009,1620
X10,E,2009,1565
X10,A,2009,3166
X10,C,2009,2719
X10,H,2009,2130
X10,H,2009,2399
X10,H,2009,2395
X10,H,2009,1310
X10,C,2009,1189.64
X10,D,2009,1533.37
X10,H,2009,1479.83
X10,C,2009,1188.58
X10,C,2009,1188.58
X10,H,2009,1429.53
X10,D,2009,1483.25
