country,gender,race,how_old_are_you,overall_years_of_professional_experience
US,Woman,White,25-34,2 - 4 years
USA,Woman,White,25-34,8 - 10 years
US,Woman,White,25-34,8 - 10 years
USA,Man,White,25-34,8 - 10 years
USA,Woman,White,25-34,2 - 4 years
US,Woman,White,45-54,21 - 30 years
USA,Woman,"Hispanic, Latino, or Spanish origin, White",35-44,11 - 20 years
USA,Woman,White,35-44,8 - 10 years
usa,Woman,White,45-54,21 - 30 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,5-7 years
US,Woman,White,25-34,5-7 years
USA,Woman,White,35-44,11 - 20 years
US,Man,White,25-34,5-7 years
USA,Woman,Another option not listed here or prefer not to answer,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,11 - 20 years
US,Woman,White,35-44,21 - 30 years
USA,Woman,White,35-44,5-7 years
USA,Woman,White,35-44,8 - 10 years
USA,Woman,White,25-34,2 - 4 years
USA,Woman,White,45-54,21 - 30 years
USA,Man,White,25-34,5-7 years
USA,Man,White,25-34,8 - 10 years
US,Woman,"Hispanic, Latino, or Spanish origin, White",25-34,8 - 10 years
USA,Woman,White,35-44,5-7 years
USA,Woman,White,35-44,11 - 20 years
US,Woman,White,25-34,11 - 20 years
US,Woman,White,25-34,8 - 10 years
USA,Man,White,65 or over,41 years or more
USA,Non-binary,White,25-34,5-7 years
US,Woman,White,25-34,5-7 years
USA,Woman,Another option not listed here or prefer not to answer,35-44,11 - 20 years
US,Woman,White,35-44,11 - 20 years
USA,Woman,White,45-54,11 - 20 years
USA,Woman,White,35-44,21 - 30 years
US,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,11 - 20 years
USA,Woman,White,25-34,5-7 years
USA,Woman,White,55-64,31 - 40 years
US,Woman,White,25-34,5-7 years
US,Woman,White,55-64,31 - 40 years
USA,Woman,White,55-64,21 - 30 years
USA,Woman,White,25-34,5-7 years
USA,Man,White,55-64,31 - 40 years
USA,Woman,"Hispanic, Latino, or Spanish origin, White",45-54,21 - 30 years
USA,Woman,White,45-54,21 - 30 years
US,Woman,Asian or Asian American,25-34,8 - 10 years
USA,Man,White,45-54,21 - 30 years
USA,Woman,White,45-54,21 - 30 years
USA,Woman,White,25-34,5-7 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,11 - 20 years
USA,Woman,White,45-54,21 - 30 years
US,Woman,White,35-44,21 - 30 years
