A,B,Class
-0.05889,0.18641,good
-0.18829,-0.13738,bad
-0.03365,0.56045,good
-0.45161,-0.32382,bad
-0.02401,-0.04608,good
-0.00592,-3.9e-4,bad
-0.10602,-0.13832,good
0,0,bad
-0.07198,0.38895,good
-0.08459,-0.08208,bad
0.06655,0.22995,good
-0.5421,1,bad
-0.16316,0.64727,good
-0.86701,1,bad
0.0738,1,good
-0.93996,0,bad
0.06468,0.70941,good
0,1,bad
0.02528,1,good
-1,1,bad
-0.00612,0.74354,good
1,-1,bad
0.07088,0.52099,good
1,0,bad
-0.06182,0.64207,good
0.5782,1,bad
-0.08714,-0.13341,good
-1,-1,bad
0.0838,0.52479,good
-1,1,bad
-0.14236,1,good
-1,1,bad
-0.14639,0.42189,good
-0.02595,-0.23186,bad
-0.15899,1,good
-1,1,bad
0.00433,0.83867,good
1,0,bad
0.04347,0.65258,good
0.02461,1,bad
0.06538,0.0699,good
-1,0,bad
0.08791,0.12137,good
-1,1,bad
-0.05785,0.49195,good
0,0,bad
-0.0373,0.75115,good
-0.02685,-0.06117,bad
0.00874,0.74323,good
0,0,bad
-0.18362,0.93323,good
1,0,bad
1,1,good
-1,1,bad
0.08143,0.82166,good
-0.20685,-1,bad
-0.02259,0.73992,good
1,-1,bad
0.05812,0.83574,good
-1,0,bad
0.09771,0.54252,good
-0.35625,1,bad
0.16801,0.22101,good
1,1,bad
-0.41457,0.51382,good
0.10598,1,bad
0.28046,0.80355,good
-1,1,bad
0.67784,0.98816,good
1,1,bad
0.03529,0.71493,good
-1,1,bad
0.0862,0.09048,good
0.38889,0,bad
0.0507,0.33381,good
1,1,bad
0.04078,0.40442,good
1,-1,bad
0.24168,-0.81383,good
1,-1,bad
-0.06604,1,good
-1,1,bad
0.07804,-0.04023,good
-0.17314,-0.04013,bad
-0.02811,0.56361000000000006,good
-0.06343,0.34411,bad
0.04528,0.73208,good
-0.05,1,bad
-0.01569,0.43137,good
0.12482,-0.00526,bad
-0.21996,0.52361,good
-0.0858,-0.18494,bad
-0.24783,0.50435,good
0.14861,0.52632,bad
0.13582,0.39559,good
0.16851,0,bad
0.16607,-0.67699,good
0.19049,-0.59943,good
-1,0,bad
0.04974,0.57455,good
-1,0,bad
0.01709,0.87011,good
0,0,bad
-0.12095,0.69531,good
-0.31818,0,bad
-0.49311,1,good
0,0,bad
0.00526,0.76586,good
0.10811,0,bad
-0.57224,0.30445,good
-0.62879,0,bad
0.1931,-0.42912,good
-0.61,0,bad
0.23395,-0.37432,good
0.81586,0,bad
-0.09524,0.14694,good
-0.14754,0.4918,bad
0,0.5884,good
0.52381,0.25441,bad
-0.07111,1,good
-0.12727,0.29091,bad
-0.92453,0.43396,good
0.83333,0.2619,bad
0.04167,0.33333,good
1,0,bad
0.06595,0.18632,good
0.40332,0.81979,bad
0.10129,0.93144,good
0,0,bad
0.00876,0.9842,good
0,0.28919,bad
0.01403,0.17073,good
1,0,bad
0.20408,-0.26531,good
0,0,bad
0.38235,-0.28676,good
0.28105,-0.40201,bad
-0.1,0.41667,good
0.4,-8e-5,bad
-0.37838,0.51351,good
-0.03516,-1,bad
0.02254,0.95838,good
-0.05529,1,bad
-0.10345,-8e-5,good
-0.07843,0.47059,bad
0.16667,2.5e-4,good
0.15625,0,bad
-0.01081,1,good
0.05426,1,bad
-0.01604,0.97861,good
0.2875,0.40445,bad
0.03333,0.63333,good
-0.00838,0.04749,bad
0.28713,0.50376,good
0.01437,-0.04598,bad
-0.01084,0.79015,good
0.02568,-0.01427,bad
0.22751,0.2672,good
0.00686,0.1167,bad
0.38574,-0.21572,good
0.00705,0.00705,bad
7.5e-4,0.79089,good
-1,-1,bad
0.39252,-0.11215,good
1,0,bad
0.54902,-0.11765,good
0,-1,bad
0.44444,-0.55556,good
0,0,bad
0,0.67493,good
1,0,bad
0,1,good
0,0,bad
0.45455,1,good
-0.63636,0.17045,bad
0.11765,1,good
0,-0.67553,bad
0.29167,0.70833,good
-0.16667,0.16827,bad
-0.08183,0.29221,good
1,0.82895,bad
0.24077,0.18353,good
1,0,bad
-0.19448,-0.07457,good
-1,0.47569,bad
0.4346,-0.00422,good
1,0,bad
0.63548,1,good
1,0,bad
0.06843,1,good
-1,0,bad
-0.07896,0.01336,good
0,-0.19792,bad
0.05149,0.18086,good
-0.09524,-1,bad
-0.0019,0.85841,good
-1,1,bad
0.23058,0.96523,good
-1,1.5e-4,bad
0.38265,1,good
0,0,bad
-0.28428,0.13994,good
0,0,bad
0.09091,0.86364,good
0,0,bad
-0.08824,0.91176,good
1,0.14939,bad
-0.10526,0.57418,good
-0.5,0,bad
0.45455,0.72727,good
-1,0,bad
0.09091,0.28985,good
-0.59677,0,bad
0.14286,1,good
1,1,bad
0.46972,-0.06739,good
-1,1,bad
0.04174,0.11573,good
1,0,bad
0.13645,-0.47419,good
-1,-1,bad
0.13069,-0.23846,good
-1,1,bad
0.13082,-0.10289,good
0,0,bad
0.15451,-0.56231,good
0,0,bad
0.38138,0.42152,good
-1,1,bad
-0.38293,0.30588,good
0,0,bad
0.00892,1,good
1,-1,bad
-0.169,0.54632,good
1,0.56522,bad
-0.07778,1,good
0.15564,-0.19066,bad
-0.03175,0.625,good
-0.15271,0.07389,bad
0.1085,0.65213,good
0.35949,0,bad
-0.00857,0.91747,good
-0.5,0,bad
0.01631,0.86786,good
0,0.90667,bad
0.03714,0.82143,good
0,0,bad
0.01818,0.58961,good
0,0,bad
0.5,0.02249,good
0,1,bad
0.38027,0.5146,good
0,0,bad
0.43491,0.34749,good
0.0252,0.12197,good
0.39121,-0.03983,good
-0.0349,0.61372,good
-0.0239,0.60294,good
0.18923,0.50609,good
0.05375,0.64407,good
0,0.44783,good
0.09417,-0.27339,good
0.09802,-0.42815,good
0.13425,-0.48808,good
0.17498,-0.8121,good
0.18198,-0.64056,good
0.21106,-0.11894,good
-0.60927,0.40821,good
0.11385,0.56167,good
0.06794,0.42223,good
0.08013,0.92226,good
-0.12371,0.45361,good
-0.04388,0.69053,good
-0.03596,0.60674,good
-0.00647,0.30421,good
0.1037,0.51358,good
-0.02712,0.50169,good
0.09709,0.37379,good
0.02187,-0.33483,good
0.1581,-0.64134,good
0.21677,-0.47201,good
0.19959,-0.66932,good
0.28082,-0.08937,good
0.35157,0.42805,good
0.10025,0.0029,good
-0.35526,0.44767,good
0.13215,0.16655,good
0.11933,0.77269,good
0.04326,0.88238,good
0.02549,0.72837,good
0.19527,0.34615,good
0.14689,0.6742,good
-0.03397,0.65817,good
-0.08152,0.79076,good
-0.13241,0.61067,good
0.11308,0.56319,good
0.27475,-0.19312000000000001,good
0.29282,0.10007,good
0.30634,0.00194,good
0.28993,0.40591,good
0.33164,0.59407,good
0.31456,0.64662,good
-0.02736,0.96778,good
-0.01531,0.92049,good
-0.14384,0.96575,good
-0.0339,0.76271,good
-0.25,0.08333,good
1,-0.91903,good
0.49638,-0.19609,good
0.42904,0.48319,good
0.35107,0.74828,good
0.36924,0.76066,good
0.16195,1,good
-0.00155,0.78761,good
0.29492,0.34572,good
0.35232,0.62765,good
0.39286,0.76862,good
-0.24051,0.83544,good
0.0084,0.5533,good
0.01809,0.84258,good
-0.01179,0.98971,good
-0.03168,0.86733,good
0.01773,0.93617,good
-0.24242,0.39394,good
0.3595,0.40956,good
0.37917,0.60073,good
0.41113,0.75495,good
1,0.17758,good
0.51515,0.09091,good
0,0.97561,good
0.08156,0.92553,good
0.10638,0.80774,good
0.03727,0.80088,good
0.0071,0.98934,good
0.01105,0.98674,good
-0.01342,1,good
0.36724,0.56286,good
0.41786,0.70555,good
0.11042,0.13376,good
0.43617,-0.18533,good
0.05725,-0.30153,good
7.5e-4,0.97247,good
-0.07572,0.78439,good
